Objective,Policy,Scenario,IndexCol,PortCol,T_test_days,TE,MER,IR,CVaR5,CR,Sharpe,MDD,ATC,,,FW,Loss
IT,RO,rho0.005_normON,Index_rho0.005_normON,IT_RO_rho0.005_normON,1475,0.0049169,5.51e-05,0.011,0.021,0.247,0.02,0.325,0.009 ,,,1.2468924,0.0049169
IT,NN-ST,rho0.0_normOFF,Index_rho0.0_normOFF,IT_NN-ST_rho0.0_normOFF,1475,0.006338,-5.76E-05,-0.009,0.021,0.063,0.009,0.322,,,,1.0627559,0.006338
IT,NN-IR,rho0.0_normOFF,Index_rho0.0_normOFF,IT_NN-IR_rho0.0_normOFF,1475,0.0055967,-2.38E-05,-0.004,0.022,0.112,0.012,0.316,,,,1.1123076,0.0055967
IT,NN-ISR,rho0.0_normOFF,Index_rho0.0_normOFF,IT_NN-ISR_rho0.0_normOFF,1475,0.0055042,-4.30E-06,-0.001,0.022,0.144,0.014,0.315,,,,1.1444116,0.0055042
IT,NN-All,rho0.0_normOFF,Index_rho0.0_normOFF,IT_NN-All_rho0.0_normOFF,1475,0.0060059,9.1e-06,0.002,0.018,0.189,0.018,0.257,,,,1.1889716,0.0060059
IT,RO,rho0.0_normOFF,Index_rho0.0_normOFF,IT_RO_rho0.0_normOFF,1475,0.0049204,7.29e-05,0.015,0.021,0.28,0.022,0.321,,,,1.2801103,0.0049204
IT,NN-ST,rho0.0_normON,Index_rho0.0_normON,IT_NN-ST_rho0.0_normON,1475,0.0054928,6.88e-05,0.013,0.025,0.232,0.018,0.343,,,,1.232427,0.0054928
IT,NN-IR,rho0.0_normON,Index_rho0.0_normON,IT_NN-IR_rho0.0_normON,1475,0.0055967,-2.38E-05,-0.004,0.022,0.112,0.012,0.316,,,,1.1123076,0.0055967
IT,NN-ISR,rho0.0_normON,Index_rho0.0_normON,IT_NN-ISR_rho0.0_normON,1475,0.0055042,-4.30E-06,-0.001,0.022,0.144,0.014,0.315,,,,1.1444116,0.0055042
IT,NN-All,rho0.0_normON,Index_rho0.0_normON,IT_NN-All_rho0.0_normON,1475,0.0051882,8.02e-05,0.015,0.019,0.304,0.024,0.291,,,,1.3044308,0.0051882
IT,RO,rho0.0_normON,Index_rho0.0_normON,IT_RO_rho0.0_normON,1475,0.0049204,7.29e-05,0.015,0.021,0.28,0.022,0.321,,,,1.2801103,0.0049204
